asin,title,imgUrl,productURL,stars,reviews,price,listPrice,category_id,isBestSeller,boughtInLastMonth
B0BGP8BJ2T,"2500W Portable Handheld Steam Cleaner, High Temperature Pressurized Steam Cleaning Machine with Brush Heads for Kitchen Furniture Bathroom Car, US Plug 110V (Wihte&Orange)",https://m.media-amazon.com/images/I/616FHEFwMAL._AC_UL320_.jpg,https://www.amazon.com/dp/B0BGP8BJ2T,4.0,80,43.99,46.86,175,False,0
B08B17NNHD,"Slipstick Premium Wool Felt Furniture Pads/Small Chair Feet Floor Protectors (3/4 Inch Round) Includes 20 Heavy-Duty Felt Pads with Self Stick Adhesive, Gray, CB111",https://m.media-amazon.com/images/I/719fiimkioL._AC_UL320_.jpg,https://www.amazon.com/dp/B08B17NNHD,4.2,565,4.99,0.0,211,False,0
B07NPKVYW2,Womens Canvas Handbag Tassel Stripes Purse Tote Fashion Shoulder Bag Large Capacity,https://m.media-amazon.com/images/I/61Pgl5uIJsL._AC_UL320_.jpg,https://www.amazon.com/dp/B07NPKVYW2,3.4,303,13.39,0.0,118,False,0
B01N1YAZKX,Nordic Pure 20x25x5 MERV 12 Pleated Lennox X6673_X6675 Replacement AC Furnace Air Filters 2 Pack,https://m.media-amazon.com/images/I/71Y6WpkMUZL._AC_UL320_.jpg,https://www.amazon.com/dp/B01N1YAZKX,4.7,0,63.99,68.99,212,False,0
B09RJMQRC7,"60/70‑6.5 Tires, Explosion Proof Good Shock Absorption Effect Excellent Grip 60/70‑6.5 Electric Scooter Tire for G30 Electric Scooter",https://m.media-amazon.com/images/I/61+OHZ+vPuL._AC_UL320_.jpg,https://www.amazon.com/dp/B09RJMQRC7,0.0,0,29.88,0.0,231,False,0
B004GJXX2S,Champion Cutting Tool SE5 Double Cut TiN Coated Carbide Bur,https://m.media-amazon.com/images/I/71beV5qMSZL._AC_UL320_.jpg,https://www.amazon.com/dp/B004GJXX2S,4.5,0,34.66,37.66,153,False,0
B08V5LC1FS,Toddler Girl Clothes Cartoon Dress Casual Short Sleeves Dresses Cotton T-Shirt,https://m.media-amazon.com/images/I/61H+zsfeOML._MCnd_AC_UL320_.jpg,https://www.amazon.com/dp/B08V5LC1FS,4.5,248,13.6,0.0,91,False,0
B09XGCSZLR,"DMI Ultra Absorbent Extra Large Incontinence Bed Pads 36x36, Disposable, 50 Pack of Underpads, Proven Protection for All Furniture and Surfaces, FSA and HSA Eligible",https://m.media-amazon.com/images/I/61BFppv45AL._AC_UL320_.jpg,https://www.amazon.com/dp/B09XGCSZLR,4.3,0,35.87,0.0,131,False,1000
B09CQJKTF8,"All-Purpose Liquid Dye, Charcoal Grey",https://m.media-amazon.com/images/I/61SNGXdR8VL._AC_UL320_.jpg,https://www.amazon.com/dp/B09CQJKTF8,0.0,0,11.52,0.0,2,False,0
B0CD87DGNZ,"110 pcs Cute Stickers Pack,Cartoon Animal Stickers for Kids Boys Girls,Waterproof Aesthetic Stickers for girls Water Bottle Stickers Laptop Scrapbook Notebook Skateboard Stickers squishmallow stickers",https://m.media-amazon.com/images/I/812vOW8TPFL._AC_UL320_.jpg,https://www.amazon.com/dp/B0CD87DGNZ,5.0,1,3.98,0.0,219,False,0
B0C9ZFN6GP,XIPEGPA Tabletop Basketball Game Toys 2 Player Desktop Basketball Party Favors with 30 Balls Desktop Basketball Game Set for Boys or Girls,https://m.media-amazon.com/images/I/81Ve2tdrhxL._AC_UL320_.jpg,https://www.amazon.com/dp/B0C9ZFN6GP,4.0,3,11.99,0.0,228,False,50
B0BRXK3S43,"POWERTEC 71603V Pre-Cut Foam Insert, For Bosch L-Boxx-2, Customizable Inlay Material, Click and Go Mobile Transport System",https://m.media-amazon.com/images/I/61dKR31B66L._AC_UL320_.jpg,https://www.amazon.com/dp/B0BRXK3S43,0.0,0,24.99,0.0,173,False,0
B0B3J5L697,Black Strappy Heels for Women Closed Toe Platform High Heels Pumps Sexy Summer Comfortable 4 inch Stiletto Heels,https://m.media-amazon.com/images/I/51rr-4mIC6L._AC_UL320_.jpg,https://www.amazon.com/dp/B0B3J5L697,4.2,0,26.49,52.99,122,False,0
B0B2ZNDQHT,"Vagisil Odor Protect Daily Intimate Feminine Wash for Women, Gynecologist Tested, 34 Fl Oz (1L)",https://m.media-amazon.com/images/I/619kMNqo8IL._AC_UL320_.jpg,https://www.amazon.com/dp/B0B2ZNDQHT,4.7,0,12.56,0.0,131,False,900
B0BVTVXWQ2,"Pubic Hair Trimmer for Men, Bikini Trimmer Women, IPX7 Waterproof Ball Trimmer/Shaver, Body Groomer w/Replaceable Ceramic Blade, Electric Razor w/Light&USB-C Cable, Gifts for Him Dad Father",https://m.media-amazon.com/images/I/71UY5ptT7wL._AC_UL320_.jpg,https://www.amazon.com/dp/B0BVTVXWQ2,4.3,0,19.99,0.0,53,False,0
B081Z4VPHD,"RGB Laptop Cooling Pad for 15.6-21 Inch Professional Gaming Laptop Cooler with 6 Quiet Fans and Button Control, Pure Metal Panel Portable Cooler",https://m.media-amazon.com/images/I/61uX817fuVL._AC_UL320_.jpg,https://www.amazon.com/dp/B081Z4VPHD,4.3,0,45.88,0.0,65,False,0
B002Z6GC72,Simpson Strong-Tie H8 18-Gauge Galvanized Hurricane Tie (Pack of 100),https://m.media-amazon.com/images/I/51hU2KKTvcL._AC_UL320_.jpg,https://www.amazon.com/dp/B002Z6GC72,4.7,13,79.68,0.0,141,False,0
B01DVAAWQW,"Baby-Girls First Birthday Outfit Girls One Year Old Birthday Shirt White, 12-18 Months, Short Sleeve",https://m.media-amazon.com/images/I/61hCkpIi+7L._AC_UL320_.jpg,https://www.amazon.com/dp/B01DVAAWQW,4.8,0,15.95,0.0,42,False,0
B0C4GFVFRW,"80 Count Robot Litter Liner Bags,Litter Robot Replacement Liners Bag Compatible with All Litter Robot Models,9-11 Gallons",https://m.media-amazon.com/images/I/615QQyAKPeL._AC_UL320_.jpg,https://www.amazon.com/dp/B0C4GFVFRW,1.0,1,19.99,21.99,179,False,50
B0964D4DZG,Men's Spitfire Waterproof Moccasin,https://m.media-amazon.com/images/I/51GeUb5GsVL._AC_UL320_.jpg,https://www.amazon.com/dp/B0964D4DZG,4.8,0,149.95,0.0,114,False,0
B0C894V7N7,Dog Nail File Dogs Scratch Board for Dogs Stress Free Nail File for Dogs Nail File Kit,https://m.media-amazon.com/images/I/71RW2yj9+RL._AC_UL320_.jpg,https://www.amazon.com/dp/B0C894V7N7,4.4,0,18.57,21.97,180,False,700
B08BYSY8Y5,"Brightech Ambience Pro Waterproof Extension Cable for Solar Outdoor String Lights, 6 Ft Extension Cord aka Wire for Solar Strip Lights",https://m.media-amazon.com/images/I/710OoxJOwzS._AC_UL320_.jpg,https://www.amazon.com/dp/B08BYSY8Y5,4.5,0,11.99,0.0,210,False,0
B008MVYJ60,Bon Railroad Crayon Chalk 4-inchX1-inch -White(72/Pkg) (84-822),https://m.media-amazon.com/images/I/41CM9nyil2L._AC_UL320_.jpg,https://www.amazon.com/dp/B008MVYJ60,4.3,0,0.0,0.0,213,False,0
B00CCE2USC,"MasterPieces 1000 Piece Sports Jigsaw Puzzle - MLB St. Louis Cardinals Center View Panoramic - 13""x39""",https://m.media-amazon.com/images/I/91Q3PFPaJRL._AC_UL320_.jpg,https://www.amazon.com/dp/B00CCE2USC,4.6,0,25.98,0.0,227,False,0
B07WV3PJ18,Borderlands 3 (PS4),https://m.media-amazon.com/images/I/81O9rdceQDL._AC_UY218_.jpg,https://www.amazon.com/dp/B07WV3PJ18,4.3,1342,14.28,16.28,253,False,0
B0BF9XFR6V,"KYDA Contour Beauty Wand, Liquid Face Concealer Contouring with Cushion Applicator, High Coverage Natural Matte Finish, Lightweight Blendable Super Silky Cream Contour Stick, by Ownest Beauty-Medium",https://m.media-amazon.com/images/I/61s0cXL-2RL._AC_UL320_.jpg,https://www.amazon.com/dp/B0BF9XFR6V,3.9,725,6.88,0.0,48,False,300
B089CKYC87,"Tulip One-Step Tie-Dye Kit Two-Minute Tie Dye, Berry Blast",https://m.media-amazon.com/images/I/91y0H0TN8ZL._AC_UL320_.jpg,https://www.amazon.com/dp/B089CKYC87,4.7,193,12.99,14.99,2,False,0
B095VWP2S6,Wall Hanging Brooch Jewelry Storage Case Canvas Display Stand Enamel Pin Display Banner Holder Earrings Necklace Glitter Pin Collection Organizer (Black),https://m.media-amazon.com/images/I/51HDfdOpq5S._AC_UL320_.jpg,https://www.amazon.com/dp/B095VWP2S6,4.7,0,8.85,0.0,173,False,400
